日期,時間,發行量加權股價指數,未含金融保險股指數,未含電子股指數,未含金融電子股指數,水泥類指數,食品類指數,塑膠類指數,紡織纖維類指數,電機機械類指數,電器電纜類指數,化學生技醫療類指數,化學類指數,生技醫療類指數,玻璃陶瓷類指數,造紙類指數,鋼鐵類指數,橡膠類指數,汽車類指數,電子類指數,半導體類指數,電腦及週邊設備類指數,光電類指數,通信網路類指數,電子零組件類指數,電子通路類指數,資訊服務類指數,其他電子類指數,建材營造類指數,航運類指數,觀光餐旅類指數,金融保險類指數,貿易百貨類指數,油電燃氣類指數,綠能環保類指數,數位雲端類指數,運動休閒類指數,居家生活類指數,其他類指數
20260617,09:00:00,45809.19,41183.56,23060.29,14977.69,124.25,1942.66,228.77,494.09,549.7,111.13,151.68,196.95,81.49,159.58,268.17,117.03,200.28,296.37,2958.46,1557.62,402.18,68.99,261.73,992.75,374.69,208.45,293.72,478.71,187.42,103.78,3138.34,240.52,77.31,137.45,48.26,61.53,97.32,279.32
20260617,09:00:05,45685.27,41064.6,22990.67,14903.47,124.0,1943.09,227.13,489.97,550.25,111.1,151.4,196.48,81.36,157.89,273.06,116.97,189.12,295.87,2950.66,1555.57,401.54,68.89,262.18,984.56,370.37,208.31,291.48,476.86,183.8,103.79,3136.71,239.97,77.33,137.34,48.26,61.33,97.32,278.95
20260617,09:00:10,45318.32,40705.66,22990.83,14899.25,124.17,1942.1,226.74,489.07,550.99,111.17,151.3,195.87,81.41,158.52,272.25,116.93,189.12,296.09,2921.84,1534.18,400.09,69.67,261.01,984.12,370.56,208.4,290.78,476.65,183.78,103.77,3137.9,239.98,77.36,137.31,48.26,61.22,97.32,278.37
20260617,09:00:15,45290.46,40682.29,22953.77,14869.21,124.29,1941.38,226.26,489.11,551.61,111.17,151.19,195.46,81.41,157.81,275.33,116.78,189.12,294.42,2920.68,1533.34,400.17,69.71,260.89,983.91,370.61,208.44,290.78,476.84,182.14,103.74,3134.47,240.16,76.53,136.99,48.25,61.21,97.29,278.35
20260617,09:00:20,45318.78,40709.48,22965.15,14880.94,124.25,1939.4,227.01,489.0,552.46,111.26,151.52,195.56,81.65,158.05,276.05,116.65,189.16,294.59,2922.58,1535.3,399.27,69.76,260.83,984.45,370.85,208.51,289.82,476.57,182.28,103.7,3134.85,240.2,76.54,137.01,48.25,61.19,97.74,277.96
20260617,09:00:25,45271.42,40663.08,22957.13,14870.87,124.25,1939.4,227.02,488.25,551.68,111.21,151.55,195.56,81.68,158.06,275.57,116.63,189.13,294.59,2919.09,1532.85,399.26,69.74,260.84,984.22,370.68,208.51,289.47,476.36,181.63,103.7,3135.08,240.2,76.64,137.02,48.25,61.14,97.74,277.83
20260617,09:00:30,45269.67,40665.33,22940.11,14864.55,123.87,1939.4,226.62,487.5,551.3,111.19,151.76,195.5,81.86,159.33,275.24,116.61,189.13,294.51,2919.42,1532.71,399.45,69.71,260.84,984.61,370.66,208.51,290.01,476.28,181.44,103.7,3131.48,240.17,76.52,137.02,48.25,61.03,97.74,277.87
20260617,09:00:35,45262.17,40659.18,22934.9,14862.43,123.94,1934.8,226.56,487.49,551.85,111.27,151.76,195.53,81.86,159.54,274.85,116.59,189.13,294.32,2918.98,1532.48,399.77,69.65,260.96,983.87,371.08,208.51,290.04,476.12,181.27,103.62,3130.43,239.85,76.52,137.04,48.25,61.02,97.72,278.2
20260617,09:00:40,45224.85,40624.23,22929.97,14861.49,124.06,1934.7,226.55,487.88,552.33,111.11,151.84,195.7,81.89,159.52,274.53,116.55,189.13,294.42,2916.18,1530.34,400.0,69.7,260.96,984.0,370.98,208.51,289.66,476.16,181.11,103.62,3129.14,239.85,76.28,137.1,48.25,60.99,97.71,278.21
20260617,09:00:45,45261.77,40663.3,22923.72,14864.66,124.0,1934.7,227.1,487.68,552.62,111.1,151.77,195.62,81.85,159.12,274.97,116.55,189.13,294.44,2919.26,1532.47,399.91,69.67,260.97,984.34,370.97,208.58,290.07,476.07,181.11,103.62,3126.34,239.85,76.3,137.1,48.25,60.99,97.71,278.08
